id,filename,name,profession,title,degree,experience_level,num_jobs,certifications,approx_exp_years,jd_file,edu_pass,skills_match,skills_ratio,match_score,decision,reason
1,01_Imran_Baig.pdf,Imran Baig,Data Science,Data Scientist,BS Data Science,fresh graduate,0,,0,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
2,02_Ayesha_Mirza.pdf,Ayesha Mirza,Education,Teacher,BS Education,freelancer,2,,2,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
3,03_Warda_Mirza.pdf,Warda Mirza,Finance,Financial Analyst,ACCA,internship experience,1,,0,Financial_Analyst_JD.docx,TRUE,TRUE,0.5,45,Reject,Fails: experience insufficient (0 yr vs 2 min). Concerns: very limited professional experience
4,04_Salman_Gill.pdf,Salman Gill,Finance,Financial Analyst,BS Accounting,career changer,1,Chartered Financial Analyst (CFA) Level I,1,Financial_Analyst_JD.docx,TRUE,TRUE,1,83,Doubtful,Meets core criteria but: experience slightly below minimum; career changer — prior relevance unconfirmed
5,05_Yasir_Chaudhry.pdf,Yasir Chaudhry,Human Resources,People Operations Specialist,MBA Human Resources,candidate with employment gap,2,PHR (Professional in Human Resources),4,HR_Specialist_JD.docx,TRUE,TRUE,1,100,Doubtful,Meets core criteria but: employment gap present; experience slightly above stated maximum
6,06_Yasir_Raza.pdf,Yasir Raza,Education,Academic Coordinator,B.Ed,internship experience,1,,0,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
7,07_Omar_Abbasi.pdf,Omar Abbasi,Marketing,Brand Manager,BS Media Studies,mid-level professional,2,,5,Marketing_Specialist_JD.docx,TRUE,TRUE,1,100,Accept,"Meets education, experience, and skills requirements."
8,08_Salman_Baig.pdf,Salman Baig,Civil Engineering,Civil Engineer,MS Civil Engineering,candidate with employment gap,2,LEED Green Associate,4,Civil_Engineer_JD.docx,TRUE,TRUE,0.8,75,Doubtful,Meets core criteria but: experience slightly below minimum; employment gap present
9,09_Bushra_Baig.pdf,Bushra Baig,Finance,Financial Controller,MBA,overqualified candidate,4,,12,Financial_Analyst_JD.docx,TRUE,TRUE,1,50,Reject,Fails: overqualified — policy disallows
10,10_Iqra_Rehman.pdf,Iqra Rehman,Civil Engineering,Site Engineer,MS Structural Engineering,candidate with employment gap,2,PMP (Project Management Professional),4,Civil_Engineer_JD.docx,TRUE,TRUE,0.8,75,Doubtful,Meets core criteria but: experience slightly below minimum; employment gap present
11,11_Adeel_Javed.pdf,Adeel Javed,Marketing,Digital Marketing Specialist,BS Media Studies,internship experience,1,,0,Marketing_Specialist_JD.docx,TRUE,TRUE,0.75,90,Accept,"Meets education, experience, and skills requirements."
12,12_Hassan_Mirza.pdf,Hassan Mirza,Healthcare,Registered Nurse,BS Public Health,senior professional,3,,9,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
13,13_Maria_Abbasi.pdf,Maria Abbasi,Healthcare,Registered Nurse,BS Nursing,underqualified candidate,1,Certified Nursing Assistant (CNA),1,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
14,14_Zara_Qureshi.pdf,Zara Qureshi,Cybersecurity,SOC Analyst,BS Computer Science,mid-level professional,2,GIAC GSEC; OSCP,5,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
15,15_Kashif_Mirza.pdf,Kashif Mirza,Mechanical Engineering,Manufacturing Engineer,MS Mechanical Engineering,career changer,1,Certified Manufacturing Technologist,1,Mechanical_Engineer_JD.docx,TRUE,TRUE,1,65,Reject,Fails: experience insufficient (1 yr vs 3 min). Concerns: career changer — prior relevance unconfirmed
16,16_Usman_Khan.pdf,Usman Khan,Civil Engineering,Civil Engineer,MS Structural Engineering,fresh graduate,0,,0,Civil_Engineer_JD.docx,TRUE,TRUE,0.6,49,Reject,Fails: experience insufficient (0 yr vs 5 min). Concerns: very limited professional experience
17,17_Danish_Aslam.pdf,Danish Aslam,Legal,Legal Advisor,LLB,fresh graduate,0,Bar Council Membership,0,Lawyer_JD.docx,TRUE,TRUE,1,65,Reject,Fails: experience insufficient (0 yr vs 2 min). Concerns: very limited professional experience
18,18_Laiba_Baig.pdf,Laiba Baig,Finance,Accountant,CA Finalist,overqualified candidate,4,,12,Financial_Analyst_JD.docx,TRUE,TRUE,1,50,Reject,Fails: overqualified — policy disallows
19,19_Usman_Iqbal.pdf,Usman Iqbal,Data Science,Machine Learning Engineer,BS Data Science,underqualified candidate,1,Microsoft Certified: Azure Data Scientist Associate,1,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
20,20_Iqra_Gill.pdf,Iqra Gill,Human Resources,Recruitment Coordinator,MS Human Resource Management,freelancer,2,SHRM-CP,2,HR_Specialist_JD.docx,TRUE,TRUE,1,100,Accept,"Meets education, experience, and skills requirements."
21,21_Rabia_Gill.pdf,Rabia Gill,Education,Subject Specialist,MA Education,freelancer,2,Google Certified Educator,2,N/A,N/A,N/A,N/A,0,Reject,No JD vacancy exists for this profession.
22,22_Maria_Chaudhry.pdf,Maria Chaudhry,Legal,Compliance Officer,BA-LLB,career changer,1,Certified Compliance Professional,1,Lawyer_JD.docx,TRUE,TRUE,1,83,Doubtful,Meets core criteria but: experience slightly below minimum; career changer — prior relevance unconfirmed
23,23_Alina_Rehman.pdf,Alina Rehman,Software Engineering,Systems Developer,MS Computer Science,senior professional,3,Certified Kubernetes Application Developer,9,Software_Engineer_JD.docx,TRUE,TRUE,0.8,92,Accept,"Meets education, experience, and skills requirements."
24,24_Zeeshan_Qureshi.pdf,Zeeshan Qureshi,Legal,Legal Research Associate,LLB,internship experience,1,Bar Council Membership,0,Lawyer_JD.docx,TRUE,TRUE,1,65,Reject,Fails: experience insufficient (0 yr vs 2 min). Concerns: very limited professional experience
25,25_Bushra_Hussain.pdf,Bushra Hussain,Marketing,Digital Marketing Specialist,MBA Marketing,senior professional,3,,9,Marketing_Specialist_JD.docx,TRUE,TRUE,1,100,Accept,"Meets education, experience, and skills requirements."
