CV No.,Name,File,Profession,Status,Reason
1,Imran Baig,01_Imran_Baig.pdf,Data Science,Rejected,Profession 'Data Science' not applicable to any open position
2,Ayesha Mirza,02_Ayesha_Mirza.pdf,Education,Rejected,Profession 'Education' not applicable to any open position
3,Warda Mirza,03_Warda_Mirza.pdf,Finance,Accepted,"Score=93 | Degree=full | Skills=6 matched (sap,cost analysis,quickbooks…) | Exp=internship experience | Jobs=1 | Certs=no"
4,Salman Gill,04_Salman_Gill.pdf,Finance,Accepted,"Score=103 | Degree=full | Skills=7 matched (cost analysis,xero,ifrs…) | Exp=career changer | Jobs=1 | Certs=yes"
5,Yasir Chaudhry,05_Yasir_Chaudhry.pdf,Human Resources,Accepted,"Score=98 | Degree=full | Skills=10 matched (talent acquisition,benefits administration,onboarding…) | Exp=candidate with employment gap | Jobs=2 | Certs=yes"
6,Yasir Raza,06_Yasir_Raza.pdf,Education,Rejected,Profession 'Education' not applicable to any open position
7,Omar Abbasi,07_Omar_Abbasi.pdf,Marketing,Accepted,"Score=98 | Degree=full | Skills=9 matched (social media strategy,brand management,google ads…) | Exp=mid-level professional | Jobs=2 | Certs=no"
8,Salman Baig,08_Salman_Baig.pdf,Civil Engineering,Accepted,"Score=98 | Degree=full | Skills=6 matched (highway engineering,primavera p6,autocad civil 3d…) | Exp=candidate with employment gap | Jobs=2 | Certs=yes"
9,Bushra Baig,09_Bushra_Baig.pdf,Finance,Accepted,"Score=105 | Degree=full | Skills=7 matched (ifrs,reconciliation,payroll…) | Exp=overqualified candidate | Jobs=4 | Certs=no"
10,Iqra Rehman,10_Iqra_Rehman.pdf,Civil Engineering,Accepted,"Score=98 | Degree=full | Skills=9 matched (reinforced concrete,etabs,staad pro…) | Exp=candidate with employment gap | Jobs=2 | Certs=yes"
11,Adeel Javed,11_Adeel_Javed.pdf,Marketing,Accepted,"Score=93 | Degree=full | Skills=9 matched (brand management,hubspot,google ads…) | Exp=internship experience | Jobs=1 | Certs=no"
12,Hassan Mirza,12_Hassan_Mirza.pdf,Healthcare,Rejected,Profession 'Healthcare' not applicable to any open position
13,Maria Abbasi,13_Maria_Abbasi.pdf,Healthcare,Rejected,Profession 'Healthcare' not applicable to any open position
14,Zara Qureshi,14_Zara_Qureshi.pdf,Cybersecurity,Rejected,Profession 'Cybersecurity' not applicable to any open position
15,Kashif Mirza,15_Kashif_Mirza.pdf,Mechanical Engineering,Accepted,"Score=103 | Degree=full | Skills=7 matched (six sigma,hvac,fea…) | Exp=career changer | Jobs=1 | Certs=yes"
16,Usman Khan,16_Usman_Khan.pdf,Civil Engineering,Accepted,"Score=88 | Degree=full | Skills=7 matched (reinforced concrete,etabs,primavera p6…) | Exp=fresh graduate | Jobs=0 | Certs=no"
17,Danish Aslam,17_Danish_Aslam.pdf,Legal,Accepted,"Score=93 | Degree=full | Skills=9 matched (due diligence,contract drafting,corporate law…) | Exp=fresh graduate | Jobs=0 | Certs=yes"
18,Laiba Baig,18_Laiba_Baig.pdf,Finance,Accepted,"Score=105 | Degree=full | Skills=9 matched (sap,reconciliation,internal audit…) | Exp=overqualified candidate | Jobs=4 | Certs=no"
19,Usman Iqbal,19_Usman_Iqbal.pdf,Data Science,Rejected,Profession 'Data Science' not applicable to any open position
20,Iqra Gill,20_Iqra_Gill.pdf,Human Resources,Accepted,"Score=98 | Degree=full | Skills=9 matched (talent acquisition,benefits administration,workforce planning…) | Exp=freelancer | Jobs=2 | Certs=yes"
21,Rabia Gill,21_Rabia_Gill.pdf,Education,Rejected,Profession 'Education' not applicable to any open position
22,Maria Chaudhry,22_Maria_Chaudhry.pdf,Legal,Accepted,"Score=103 | Degree=full | Skills=8 matched (compliance,contract drafting,litigation…) | Exp=career changer | Jobs=1 | Certs=yes"
23,Alina Rehman,23_Alina_Rehman.pdf,Software Engineering,Accepted,"Score=110 | Degree=full | Skills=8 matched (flask,docker,vue.js…) | Exp=senior professional | Jobs=3 | Certs=yes"
24,Zeeshan Qureshi,24_Zeeshan_Qureshi.pdf,Legal,Accepted,"Score=98 | Degree=full | Skills=10 matched (compliance,corporate law,litigation…) | Exp=internship experience | Jobs=1 | Certs=yes"
25,Bushra Hussain,25_Bushra_Hussain.pdf,Marketing,Accepted,"Score=105 | Degree=full | Skills=8 matched (brand management,social media strategy,google analytics…) | Exp=senior professional | Jobs=3 | Certs=no"
26,Waqas Raza,26_Waqas_Raza.pdf,Cybersecurity,Rejected,Profession 'Cybersecurity' not applicable to any open position
27,Rabia Chaudhry,27_Rabia_Chaudhry.pdf,Cybersecurity,Rejected,Profession 'Cybersecurity' not applicable to any open position
28,Salman Awan,28_Salman_Awan.pdf,Cybersecurity,Rejected,Profession 'Cybersecurity' not applicable to any open position
29,Fatima Siddiqui,29_Fatima_Siddiqui.pdf,Mechanical Engineering,Accepted,"Score=110 | Degree=full | Skills=10 matched (six sigma,root cause analysis,ansys…) | Exp=senior professional | Jobs=3 | Certs=yes"
